"year","actual","synthetic","gap"
1970,0.852315908819716,0.852462090027129,-0.000146181207412721
1971,0.858633594344347,0.858641864705208,-8.27036086092914e-06
1972,0.864998103971966,0.86491167924606,8.64247259058093e-05
1973,0.87140969880352,0.871273136237154,0.000136562566365406
1974,0.87786890104091,0.877727862427034,0.000141038613875599
1975,0.884375971785084,0.884277473328516,9.84984565680636e-05
1976,0.890151437678381,0.890179823226844,-2.83855484630724e-05
1977,0.895964676175205,0.896129567764275,-0.00016489158906996
1978,0.901815861342861,0.902127220477705,-0.000311359134843703
1979,0.907705254282297,0.907825753465889,-0.000120499183591805
1980,0.913633029060796,0.913448041649237,0.00018498741155859
1981,0.918486460479891,0.918348669261718,0.000137791218172811
1982,0.923365653859,0.923284819151171,8.08347078293803e-05
1983,0.928270696231765,0.928256696516664,1.39997151016313e-05
1984,0.93320184869914,0.933264600347403,-6.27516482627488e-05
1985,0.938159198294767,0.938308862226818,-0.00014966393205107
1986,0.945387255784667,0.945364648334908,2.26074497592377e-05
1987,0.952671014809733,0.952561796318979,0.000109218490754515
1988,0.960010823504547,0.959904220485902,0.000106603018644957
1989,0.967407204071017,0.967395977183151,1.12268878658117e-05
1990,0.974860591677373,0.975041279731782,-0.000180688054408851
1991,0.987323723135867,0.987344137042347,-2.04139064802211e-05
1992,0.99994621320511,0.999910174502518,3.60387025919451e-05
1993,1.01273006365902,1.01274568845513,-1.56247961113909e-05
1994,1.02567736330517,1.02585715514757,-0.000179791842401356
1995,1.03879020095112,1.03807337579557,0.000716825155548051
1996,1.05406652103616,1.04273849558153,0.0113280254546313
1997,1.06956747496847,1.04746758264253,0.0220998923259379
1998,1.08529637002669,1.05197100093627,0.0333253690904183
1999,1.10125660052312,1.05636045523365,0.0448961452894743
2000,1.11745156077007,1.06082552669174,0.0566260340783284
2001,1.13041130622798,1.06926070956265,0.0611505966653303
2002,1.14352127176353,1.07765251168997,0.065868760073557
2003,1.15678337211697,1.08571523700912,0.0710681351078575
2004,1.17019917389401,1.09345593623848,0.0767432376555321
2005,1.18377067886855,1.10124042485222,0.0825302540163322
2006,1.19499123092473,1.11246531410275,0.0825259168219785
2007,1.20631822513324,1.12383022047298,0.0824880046602643
2008,1.2177525318306,1.1353371249226,0.0824154069080008
2009,1.22929519542057,1.14698809472571,0.082307100694859
2010,1.24094726030694,1.15878519556416,0.0821620647427745
2011,1.24094726030694,1.15878519556416,0.0821620647427745
