"unit","pre_rmspe","post_rmspe","ratio","rank"
"MWI",8.05616888033529e-05,0.066167248779765,821.324003538158,1
"LBR",0.000157627149044988,0.120817092187417,766.473877878324,2
"MRT",2.45010340256663e-05,0.0172672171361141,704.754628642433,3
"SDN",3.28381636004717e-05,0.0227106224659616,691.592341833493,4
"RWA",0.000122715999941437,0.0638845874915104,520.588900567145,5
"SEN",2.00774885732515e-05,0.00867164913970241,431.909056158315,6
"SLE",2.28202163986361e-05,0.00614445501356371,269.254896896199,7
"GMB",0.000133204949857614,0.0221520930474801,166.300824940507,8
"CIV",0.00073373603441779,0.0669980072324204,91.3107767503643,9
"BEN",0.00126234224590999,0.0965065592624884,76.4503917817621,10
"CAF",0.000617147657377605,0.037875318101405,61.3715658621236,11
"MLI",0.000895136039243871,0.0453834582271236,50.7000681879141,12
"NAM",0.00357214222832874,0.150127330532678,42.0272544979028,13
"GAB",0.00316503051263677,0.0903381663233389,28.5425893882074,14
"GHA",0.00141150524369875,0.0377177175679565,26.7216276640389,15
"LSO",0.00157636688713839,0.038802547355954,24.6151753583159,16
"SWZ",0.00304744112695694,0.0579285501657789,19.0089152677493,17
"TGO",0.00339444890163528,0.0426688852085702,12.5701951760165,18
"CMR",0.00103816309352918,0.0128947743632932,12.4207597473516,19
"KEN",0.00233194758246322,0.0285268044717048,12.2330384637429,20
"ZWE",0.00132194314349902,0.0139032147193234,10.5172561979658,21
"NER",0.00162677518730746,0.0149624215749812,9.19759638069356,22
"MUS",0.00212757417205064,0.0194501295067537,9.14192781726002,23
"ZMB",0.0070202462182278,0.0472769483807953,6.73437183129595,24
"COG",0.00947024545240714,0.0515354187115405,5.44182502666193,25
"ZAF",0.0312011883784818,0.0606082264101946,1.94249737141402,26
"MOZ",0.0557041180394868,0.0593739193738583,1.06588025200884,27
"BWA",0.094245671473967,0.0517017194378116,0.548584551727587,28
