"unit","pre_rmspe","post_rmspe","ratio","rank"
"GNQ",0.0877173618872336,39.7198322681165,452.816083538615,1
"MRT",0.0346002213572326,5.99057305154161,173.136841804897,2
"GIN",0.0185525721077696,2.93067857797146,157.966160214741,3
"CPV",0.0632318541827406,5.73441173058326,90.6886537600299,4
"MLI",0.0674431971018207,5.91772897034921,87.7438974521784,5
"SLE",0.0351325019632245,1.55146362702991,44.1603512512127,6
"KEN",0.024766318622926,1.0359813870949,41.8302535337609,7
"BEN",0.0509631503052498,2.03517895084361,39.9343238919429,8
"COM",0.03324605163882,1.17927771905037,35.4712111940949,9
"CAF",0.0373619595770274,1.1407098781758,30.5313182469472,10
"MWI",0.0410676424331166,1.14858907965991,27.968225386459,11
"ZAF",0.0413925133125266,1.0998632854331,26.5715511674486,12
"SEN",0.0351440122618486,0.858293139014529,24.4221727621655,13
"MDG",0.0405805760429203,0.988119196766255,24.3495606302179,14
"GMB",0.0241888966700189,0.572068049716007,23.6500266018773,15
"CIV",0.0689548336418583,1.41927597866695,20.5826902003486,16
"ZWE",0.0391130655108495,0.716636737641439,18.3221828379228,17
"SWZ",0.0386946826379531,0.58528170302422,15.1256364731147,18
"NER",0.112509397362052,1.44037120153586,12.8022301719454,19
"GNB",0.0765874187525057,0.926832327096329,12.1016263792806,20
"RWA",0.0555439308006002,0.547102821343785,9.84991183479353,21
"NAM",0.0757007954248583,0.707550707193179,9.34667467127878,22
"MUS",0.0298820672610793,0.263875992962117,8.83058024923895,23
"CMR",0.0533667996539414,0.467485944322689,8.75986469779179,24
"AGO",0.0607642522219554,0.489186017344715,8.05055603346933,25
"GHA",0.0905302376371494,0.713318783208323,7.8793428784242,26
"TCD",0.0802029702890791,0.628966951459281,7.84219024797047,27
"STP",0.144412647310238,1.1077598565186,7.6707953018743,28
"BWA",0.140523758681654,1.07233838876256,7.63101128821829,29
"TGO",0.112003248371678,0.848802118718955,7.57837054780983,30
"SDN",0.0623170441961768,0.44394636611633,7.12399588014425,31
"ETH",0.0498778176291798,0.325868315341315,6.53333146538219,32
"BFA",0.0371742838494398,0.237746006471921,6.39544281296231,33
"MOZ",0.0772553575050674,0.468955187442499,6.07019632796002,34
"NGA",0.819202286613456,4.1693330910125,5.08950372715429,35
"LBR",0.740336790630792,3.54022777313688,4.78191522823077,36
"GAB",0.12932259602905,0.497708596237925,3.84858185282737,37
"COG",0.137046320771741,0.31210318831255,2.27735547043526,38
"LSO",0.0647619997539778,0.129573636094814,2.00076644617286,39
"ZMB",0.320493661407863,0.377706114883997,1.17851352574279,40
