"unit","pre_rmspe","post_rmspe","ratio","rank"
"GNQ",0.0756239049834829,39.6765055797559,524.655604447056,1
"GIN",0.00489468655578236,0.953180853500942,194.737873945145,2
"MRT",0.0213738508836724,2.43736837083018,114.035060134723,3
"GMB",0.0142569802490951,1.58815784741407,111.395107495844,4
"MDG",0.0203047329452684,2.19592511828895,108.148436337877,5
"SLE",0.0151571946714772,0.868360921944588,57.2903456586638,6
"COM",0.0155732796866787,0.802372903294042,51.5224101433422,7
"ETH",0.0477096402026585,1.74944959969261,36.6686814711113,8
"CPV",0.0313379013806368,0.867713211259259,27.6889380919235,9
"ZWE",0.0297392854945517,0.745828249618148,25.0788893282183,10
"SEN",0.0235891885562206,0.583683291258209,24.7436782264513,11
"KEN",0.0117317227236377,0.277875052973271,23.6857842210501,12
"CAF",0.0325487968256343,0.605663120818425,18.6078497482717,13
"MOZ",0.0466012184305347,0.86046326199414,18.4643940861069,14
"SWZ",0.0374315986738231,0.638593616804061,17.0602816718765,15
"SDN",0.0476053769458555,0.748823756936688,15.7298146759424,16
"AGO",0.0530796306817483,0.82847748714798,15.6081999159963,17
"BFA",0.02096468067808,0.297064421187216,14.169756541907,18
"TGO",0.0431640677749616,0.490674413961341,11.3676592419301,19
"RWA",0.0388514677679045,0.435670945246101,11.2137576847486,20
"MWI",0.0235780132805282,0.228885650285318,9.70758848771801,21
"CIV",0.0427008252468031,0.406132883130234,9.5111249204871,22
"ZAF",0.0195775093456925,0.1855623089306,9.47834097044769,23
"MUS",0.020687726971592,0.184109126239443,8.89943716350558,24
"TCD",0.0736784869146371,0.604128123804397,8.19951859902241,25
"GNB",0.0447764091160499,0.359016803206982,8.01799005982135,26
"BWA",0.140523723243132,1.0723385359813,7.63101426031786,27
"NER",0.0928585636510427,0.706639399510787,7.60984632678897,28
"CMR",0.05246788907166,0.394932606674828,7.52712971042982,29
"MLI",0.0483552423400377,0.333378359777007,6.89435816354027,30
"BEN",0.0215785835578081,0.136163451983206,6.31012001406069,31
"NGA",0.819202276613823,4.16933324158305,5.089503973081,32
"LBR",0.740336569044834,3.5401403195626,4.78179853269981,33
"GHA",0.0556071332945288,0.197445043714788,3.55071430618443,34
"STP",0.06508463278362,0.158169085096111,2.43020630725472,35
"NAM",0.044121523778963,0.103502448854865,2.34584937214281,36
"GAB",0.0927700555309532,0.217100996700642,2.34020552707555,37
"COG",0.137024099727689,0.311840695342473,2.27580911651455,38
"ZMB",0.260938126355449,0.559665171937652,2.14481946258508,39
"LSO",0.0484217536393633,0.0630986740845423,1.30310592537582,40
