"unit","pre_rmspe","post_rmspe","ratio","rank"
"SDN",0.0485413308430969,0.79417068951394,16.3607110831177,1
"SEN",0.0508657290552778,0.583836860313044,11.4780004367688,2
"RWA",0.0420649685833447,0.353941235984613,8.41415667013605,3
"MLI",0.0939764109397304,0.428566188899136,4.56035918603007,4
"LSO",0.0917345937450513,0.407276265160444,4.43972386570269,5
"CMR",0.0584920727808208,0.196369955121297,3.35720629797352,6
"GAB",0.103346387641888,0.293848545764992,2.84333639975135,7
"NER",0.122372013746853,0.326983414451926,2.6720440764205,8
"COG",0.146702537988438,0.348571897894733,2.37604545002627,9
"LBR",2.32494980597593,0.642231315229632,0.276234486258101,10
