"unit","pre_rmspe","post_rmspe","ratio","rank"
"SDN",0.0508166311132239,0.815955696632396,16.0568632504263,1
"RWA",0.0457987619517982,0.338159141035901,7.38358694918005,2
"SEN",0.0757389172622401,0.305975468143734,4.03987116800624,3
"CMR",0.0592691654404811,0.164014616036256,2.76728404757042,4
"MLI",0.106135822128711,0.284476402190963,2.68030525872762,5
"COG",0.146702842005663,0.348480650715235,2.37541853962027,6
"LSO",0.100973654791552,0.225715322354021,2.23538825865007,7
"NER",0.13104182805265,0.274149572888918,2.09207683502988,8
"GAB",0.13277513226482,0.257882290730666,1.94224841905125,9
"LBR",2.32494981788935,0.642231310334831,0.276234482737295,10
