"year","actual","synthetic","gap","variable"
1970,0.527509569230232,0.54571471597972,-0.018205146749488,"rgdpe"
1971,0.53226399253408,0.563169302532074,-0.0309053099979939,"rgdpe"
1972,0.553171052904331,0.584720547480689,-0.0315494945763577,"rgdpe"
1973,0.575920751216145,0.607950762965526,-0.0320300117493817,"rgdpe"
1974,0.585672901025262,0.662149825730779,-0.0764769247055166,"rgdpe"
1975,0.591446912606892,0.673990192176964,-0.0825432795700721,"rgdpe"
1976,0.693956338571934,0.725471073552543,-0.031514734980609,"rgdpe"
1977,0.739360154321724,0.76813422632705,-0.0287740720053264,"rgdpe"
1978,0.740188191736506,0.843630724076433,-0.103442532339926,"rgdpe"
1979,0.845929927970508,0.875889649248243,-0.0299597212777352,"rgdpe"
1980,0.828160233729549,0.894291411755217,-0.0661311780256678,"rgdpe"
1981,0.95344419063906,0.903087794824165,0.0503563958148951,"rgdpe"
1982,0.929979050738304,0.943109669491738,-0.0131306187534346,"rgdpe"
1983,0.989607790852918,0.9954161097787,-0.00580831892578271,"rgdpe"
1984,0.962240743954545,1.01557659232436,-0.053335848369819,"rgdpe"
1985,1.01123609416789,1.05355269123605,-0.042316597068162,"rgdpe"
1986,1.06876389451239,0.974035266707288,0.0947286278051035,"rgdpe"
1987,1.02934304527456,0.976139898818772,0.0532031464557864,"rgdpe"
1988,1.05104082336237,0.987860553401026,0.0631802699613452,"rgdpe"
1989,1.13440199023292,1.0430153805034,0.0913866097295202,"rgdpe"
1990,1.10141187312548,1.00756059236393,0.0938512807615541,"rgdpe"
1991,0.990605058060605,1.01662438883171,-0.0260193307710999,"rgdpe"
1992,1.0519089750299,0.995631642552056,0.0562773324778474,"rgdpe"
1993,0.957485966909491,0.990743968616239,-0.0332580017067474,"rgdpe"
1994,0.427617792814766,1.00991854242641,-0.582300749611641,"rgdpe"
1995,0.533870720465422,1.0442687878824,-0.510398067416977,"rgdpe"
1996,0.619345314170653,1.12666449545026,-0.507319181279603,"rgdpe"
1997,0.724335916328036,1.07546522771563,-0.351129311387596,"rgdpe"
1998,0.780745186979465,1.09661255513232,-0.31586736815285,"rgdpe"
1999,0.799575326607487,1.15638310285035,-0.356807776242858,"rgdpe"
2000,0.794347102332449,1.24140810972644,-0.447061007393993,"rgdpe"
2001,0.848068859546134,1.2616792464389,-0.413610386892762,"rgdpe"
2002,0.953742040734432,1.26767180606056,-0.313929765326131,"rgdpe"
2003,0.970328046152191,1.28937800997984,-0.319049963827646,"rgdpe"
2004,1.06641229372377,1.34482968035303,-0.278417386629255,"rgdpe"
2005,1.17081285554971,1.47890399197434,-0.308091136424629,"rgdpe"
2006,1.31793361084095,1.56184175920215,-0.2439081483612,"rgdpe"
2007,1.4135749036745,1.5977724267951,-0.184197523120599,"rgdpe"
2008,1.50239295313559,1.70136074546279,-0.198967792327205,"rgdpe"
2009,1.62274505015237,1.69379862716516,-0.0710535770127954,"rgdpe"
2010,1.74695264332055,1.8828433952566,-0.135890751936051,"rgdpe"
2011,1.90503491885566,1.90891727938458,-0.00388236052891955,"rgdpe"
1970,0.528745130745812,0.653098500542595,-0.124353369796783,"rgdpo"
1971,0.525004964618747,0.66560926023518,-0.140604295616433,"rgdpo"
1972,0.552020240074761,0.69871743575973,-0.146697195684969,"rgdpo"
1973,0.573383493478952,0.728831659743272,-0.15544816626432,"rgdpo"
1974,0.582552079192711,0.693274285305268,-0.110722206112556,"rgdpo"
1975,0.588988603009364,0.710016692947906,-0.121028089938542,"rgdpo"
1976,0.686287310189143,0.778359800452046,-0.0920724902629028,"rgdpo"
1977,0.714499578933333,0.82273639251375,-0.108236813580417,"rgdpo"
1978,0.740459262501816,0.918219573712866,-0.17776031121105,"rgdpo"
1979,0.832161609392337,0.874030504913902,-0.0418688955215657,"rgdpo"
1980,0.841925029326518,0.812659416328395,0.029265612998123,"rgdpo"
1981,0.967650053566927,0.806726927074234,0.160923126492693,"rgdpo"
1982,0.94120912399025,0.882560518596326,0.0586486053939239,"rgdpo"
1983,0.996191055797597,0.937787755179661,0.0584033006179352,"rgdpo"
1984,0.946284075461073,0.967682906477854,-0.0213988310167815,"rgdpo"
1985,1.0030755630307,1.00688134069548,-0.00380577766477574,"rgdpo"
1986,1.0605287638616,0.976788876352716,0.0837398875088794,"rgdpo"
1987,1.03616582623971,0.97189010637455,0.0642757198651625,"rgdpo"
