"year","CMR","CIV","MLI","MOZ","NER","RWA","SEN","ZAF","ZMB"
1950,0.72,0.856,0.155,0.519,0.329,0.318,1.869,4.204,1.841
1955,0.922,0.906,0.182,0.699,0.353,0.454,1.95,4.404,2.033
1960,1.123,0.987,0.204,0.879,0.378,0.804,2.074,4.47,2.356
1965,1.505,1.094,0.255,1.059,0.402,0.968,2.112,4.545,2.684
1970,1.922,1.328,0.312,1.064,0.447,1.229,2.3,4.696,3.125
1975,2.583,1.76,0.462,0.998,0.529,1.528,2.49,4.897,3.806
1980,3.247,2.135,0.647,1.189,0.667,1.762,2.523,5.182,4.363
1985,3.939,2.463,0.826,1.246,0.855,1.975,2.453,5.213,4.77
1990,4.647,2.794,0.951,1.064,1.076,2.284,2.374,6.893,5.016
1995,5.3,3.46,1.072,0.981,1.28,2.839,2.263,8.367,6.026
2000,5.763,4.065,1.296,1.133,1.431,3.479,1.985,7.925,6.349
2005,6.062,4.516,1.809,1.341,1.619,4.073,1.666,8.86,6.586
2010,6.409,4.929,2.14,2.028,1.945,4.517,3.115,9.885,7.402
2015,7.124,4.978,2.783,4.203,2.427,5.526,3.693,10.177,7.988
